"!symbol / month","!symbol / month"
"* Required Fields","* campo obbligatorio"
"Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Please enter here your birthplace","Inserisci qui il tuo luogo di nascita."
"Please enter here your phone number.","Inserisci qui il tuo numero di telefono."
"Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Please enter the BIC of your bank.","Si prega di inserire il numero BIC."
"Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Please enter your Date of Birth (DD.MM.YYYY).","Inserisci la data di nascita"
"Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Please enter your phone number.","Devi inserire il tuo numero di telefono."
"Please enter your social security number.","Please enter your social security number."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Please log in below:","Log in"
"Please read and accept the terms and conditions.","Please read and accept the terms and conditions."
"Please selecet your gender.","Seleziona il genere"
"Please select","Si prega di selezionare"
"Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Please select the month of your birth.","Seleziona il mese di nascita."
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Please select your gender.","Seleziona il genere"
"Please select your issuing bank.","Seleziona la banca emittente."
"Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Please specify the shared secret your Klarna account.","Please specify the shared secret your Klarna account."
"Please wait, processing your order...","Per favore attendi, elaborando il tuo ordine..."
"Price","Prezzo"
"Product","Prodotto"
"Product Name","Nome del prodotto"
"Pull interval","Pull interval"
"Purchase Point","Luogo di acquisto"
"Qty","Quantità"
"Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)","Raten und Laufzeit selbst bestimmen (<a href='https://cdn.klarna.com/1.0/shared/content/legal/terms/123/de_de/account' target='_new' >Lesen sie mehr</a>)"
"Ratenkauf","Ratenkauf"
"Rechnung","Rechnung"
"Recurring Payments","Pagamenti ricorrenti"
"Refund Amount","Importo rimborsato"
"Refund ID","ID rimborso"
"Refund amount","Importo rimborsato"
"Refund information","Informazione sul rimborso"
"Refund status","Status rimborso"
"Refunded Amount","Importo rimborsato"
"Refunds","Crediti"
"Register","Registrarsi"
"Register to Create an Account","Iscriviti per creare un account"
"Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Release Date","Data di rilascio"
"Responsive Payment Page","Responsive Payment Page"
"Review","Revisione"
"Rounding Adjustment","Arrotondamenti"
"Row Total","Totale riga"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Vendite"
"Sales Tax Number","Numero tasse vendite"
"Save","Salva"
"Saved cards:","Carte salvate"
"See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Select Brand","Seleziona Marca"
"Select Method","Seleziona metodo"
"Select if Direkt??berweisung should verfiy payment data","Seleziona  se Direkt??berweisung dovrebbe verificare i dati di pagamento"
"Select the additional information shown to the customer.","Select the additional information shown to the customer."
"Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Select the data which FirstData Connect collects during the payment page checkout process","Seleziona i dati che FirstData Connect dovrebbe selezionare durante il processo di checkout sulla pagina di pagamento."
"Select the data which FirstData Connect collects during the payment page checkout process. We suggest that you use 'Payment Information only' otherwise the user will be asked for additional details on the Payment Page.","Seleziona i dati che FirstData Connect dovrebbe selezionare durante il processo di checkout sulla pagina di pagamento. Si consiglia di scegliere l'opzione 'Solo le informazioni di pagamento', altrimenti l'utente dovrà fornire ulteriori dettagli sulla pagina di pagamento."
"Select the date of your birth.","Inserisci la data di nascita"
"Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Select your gender","Seleziona il genere"
"Send Invoice Email","Invia la fattura per email"
"Send amounts to FirstData Connect in base currency.","Invia l'importo a FirstData Connect  in base alla valuta."
"Send amounts to FirstData Connect in store's base currency.","Invia importo a FirstData Connect  nella valuta base del negozio."
"Send invoice email","Invia la fattura via email"
"Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Settlement after order","Creazione dopo l'ordine"
"Shared Secret Connect Interface provided by FirstData Connect (Test).","Shared Secret Connect Interface fornito da FirstData Connect (Test)."
"Shared Secret Connect Interface provided by FirstData Connect.","Shared Secret Connect Interface fornito da FirstData Connect."
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Importo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping Refund","Rimborso della spedizione"
"Shop","Shop"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Qualora l'importo venga addebitato automaticamente dopo l'ordine (diretta) o solo bloccato (ritardato)?"
"Show","Mostra"
"Show Account Selection","Mostra la selezione dell'account"
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Show Image","Mostra immagine"
"Show Installment information","Show Installment information"
"Show Invoice information","Show Invoice information"
"Show Payment Id","Mostra il Payment Id"
"Show the payment id","Mostra il payment ID"
"Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Show the payment image","Mostra l'immagine di pagamento"
"Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Sign In","Log in"
"Social Security Number","Social Security Number"
"Social security number required","Numero di previdenza sociale richiesta"
"Solvency Information","Informazioni di solvibilità"
"Sort Order","Sort Order"
"Status","Stato"
"Status After Pending","Status dopo 'In attesa'"
"Status denied after Klarna pending","Status negato dopo che Klarna é stato in sospeso."
"Store ID","Store ID"
"Store ID (Test)","Store ID (Test)"
"Store the payment details","Salvare i dati di pagamento"
"Stored payment details","Dettagli di pagamento memorizzate"
"Submit Order","Conferma l'ordine"
"Submitting order information...","Invio informazioni sull'ordine ..."
"Subtotal","Totale parziale"
"Success","Successo"
"Successful","Successo"
"Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Successful payment authorization.","Pagamento autorizzato con successo."
"Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Support","Supporto"
"Tax Amount","Importo Tassa"
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Terms and Conditions","Terms and Conditions"
"Test Environment","Modalità test"
"Test Mode","Test Mode"
"Test Transaction","Test per la transazione"
"The API password required for the basic authorization will be provided by FirstData Connect (Test).","La password API prevista per l'autorizzazione di base sarà fornita da ____ paymentServiceProviderName____ (Test)."
"The API password required for the basic authorization will be provided by FirstData Connect.","La password API richiesta per l'autorizzazione di base sarà fornita da FirstData Connect."
"The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of FirstData Connect. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect (Test).","La password API MoTo richiesta per l'autorizzazione di base. La password viene fornita dal FirstData Connect (Test)."
"The MoTo API password required for the basic authorization. The password is provided by FirstData Connect.","La password MoTo API é richiesta per l'autorizzazione di base. La password viene fornita da FirstData Connect."
"The MoTo User Id who is allowed to access the API","Il MoTo User Id autorizzato ad accedere all'API"
"The MoTo User Id who is allowed to access the API (Test)","Il MoTo User Id autorizzato ad accedere all'API (Test)"
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits.","Lo Store ID sarà fornito da FirstData Connect e di solito composto da 11 cifre."
"The Store ID will be provided by FirstData Connect and usally consist of 11 digits. (Test)","Lo Store ID sarà fornito da FirstData Connect e di solito composto da 11 cifre."
"The User Id who is allowed to access the API will be provided by FirstData Connect (Test).","L'User Id autorizzato ad accedere all'API sarà fornito da ____ paymentServiceProviderName____ (Test)."
"The User Id who is allowed to access the API will be provided by FirstData Connect.","Lo User Id autorizzato ad accedere all'API sarà fornito da FirstData Connect."
"The alias could not be found.","L'alias non é stato trovato."
"The alias has been deleted.","L'alias é stato cancellato."
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by FirstData Connect.","L'Alias Manager consente al cliente di pagare con una carta di credito già salvata precedentemente. Questa carta di credito é salvata in ____ paymentServiceProviderName____."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"The amount of !amount is captured.","La quantità di !amount é registrata."
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"The authorization was not successful","The authorization was not successful"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Il tipo di carta di credito viene rilevato dal numero della carta se viene utilizzata l'autorizzazione nascosta (Hidden Authorization). Se si utilizza la pagina di pagamento, l'utente deve selezionare la marca. Le marche delle carte di credito autorizzate possono essere limitate in questa impostazione."
"The brand of the credit card is detected by the card number if hidden authorization is used. The allowed credit card brands can be restricted by this setting. If payment page is used the customer will select the payment method at ____paymetnServiceProviderName____ and this setting is ignored.","La marca della carta di credito é rilevata dal numero della carta se é concessa l'autorizzazione nascosta. Nelle impostazione puoi selezionare le marche di carte di credito. Se la pagina di pagamento é usata,  il cliente seleziona il metodo di pagamento a ____paymetnServiceProviderName____ e questa impostazione é ignorata."
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La selezione del marchio della carta avviene automaticamente a seconda del numero di carta inserito. Se Javascript é disattivato nel browser, viene visualizzato un menu a tendina. Nel caso in cui JavaScript sia attivo, i loghi possono  essere mostrati. La selezione della marca deve mostrare immagini?"
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images? (Only for Hidden Authorization)","La selezione della marca della carta avviene automaticamente grazie al numero di carta inserito. Se JavaScript non è attivo  nel browser, viene mostrato un menu a tendina. Nel caso in cui JavaScript sia attivo può essere mostrato il logo della marchia. Dovrebbe la selezione della marca usare immagini? (Solo per Hidden Authorization)"
"The configuration has been saved.","La configurazione é stata salvata."
"The context is in the wrong state, for this action","The context is in the wrong state, for this action"
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"The customer did not the terms and conditions of Klarna.","The customer did not the terms and conditions of Klarna."
"The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"The date of birth is required.","È richiesta la data di nascita."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno."
"The gender is required.","Il sesso deve essere specificato."
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The identifier as defined in the backoffice of FirstData Connect.","The identifier as defined in the backoffice of FirstData Connect."
"The interval in minutes between pulling updates from FirstData Connect.","L'intervallo in minuti tra i diversi aggiornamenti da ____ paymentServiceProviderName____."
"The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da FirstData Connect."
"The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"The invoice could not be found.","La fattura non é stato trovata."
"The invoice has been changed.","La fattura é stata cambiata."
"The invoice no longer exists.","La fattura non esiste più."
"The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"The passphrase to access the MoTO client certificate provided by FirstData Connect (Test).","La frase di accesso per accedere al certificato client MoTo fornito da ____ paymentServiceProviderName____ (Test)."
"The passphrase to access the MoTO client certificate provided by FirstData Connect.","La password per accedere al certificato MoTO del cliente é fornita da FirstData Connect."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file (Test).","La passphrase per accedere al certificato cliente fornito da ____ paymentServiceProviderName____. Si prega di assicurarsi di seguire le istruzioni del manuale riguardanti la creazione del file di certificato (Test)."
"The passphrase to access the client certificate provided by FirstData Connect. Please make sure that you follow the instructions in the manual concerning the creation of the certificate file.","La passphrase per accedere al certificato cliente fornito da FirstData Connect. Si prega di assicurarsi di seguire le istruzioni del manuale riguardanti la creazione del file di certificato."
"The payment failed due to an unkown reason","Il pagamento non é andato a buon fine a causa di una ragione sconosciuta"
"The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"The payment has been accepted.","Il pagamento é stato accettato."
"The payment has been denied.","Il pagamento é stato rifiutato."
"The payment method !paymentMethod does not support recurring payment.","Il metodo di pagamento non supporta il pagamento ricorrente."
"The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of FirstData Connect. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The shared secret for the connect interface","Il shared secret per la connect interface"
"The shared secret for the connect interface (Test)","Il segreto condiviso per l'interfaccia Connect (Test)"
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect (Test).","Il shared secret per l'interfaccia connessa utilizzata per le transazioni MoTo fornito da FirstData Connect (Test)."
"The shared secret for the connect interface used for your MOTO transactions provided by FirstData Connect.","Il shared secret per la connect interface utilizzata per le transazioni MOTO fornito da FirstData Connect."
"The shipping and billing addresses must be equal","Gli indirizzi di fatturazione e spedizione devono essere uguali."
"The shopping cart has been altered!","Il carrello é stato modificato!"
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of FirstData Connect.","The site id (PBX_RANG) as defined in the backoffice of FirstData Connect."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"The transaction cannot be captured online.","Impossibile registrare la transazione online."
"The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"The transaction failed with an unkown error.","The transaction failed with an unkown error."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"The transaction was declined by Klana.","The transaction was declined by Klana."
"The whole transaction is cancelled.","L'intera transazione é stata annullata."
"There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"There is a technical issue, please contact the merchant.","There is a technical issue, please contact the merchant."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"There seems to be a problem with the FirstData Connect module.","Sembra esserci un problema con il modulo FirstData Connect."
"There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"This method is not available for companies","This method is not available for companies"
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account."
"This payment method is currently not available, please select another one.","This payment method is currently not available, please select another one."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This status is set, when the payment was successfull and it is authorized.","Questo status é selezionato quando il pagamento ha avuto esito positivo ed è autorizzato."
"This transaction is already closed for further captures.","Questa transazione é già chiusa."
"This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"This transaction no longer exists.","La transazione non esiste più."
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Titel","Titolo"
"Title","Title"
"Title of the payment method","Nome del metodo di pagamento"
"Total","Totale"
"Total Shipping Charges","Totale spese di trasporto"
"Track order history","Traccia lo storico dell'ordine"
"Trans ID","Transaction ID"
"Transaction","tbcl_firstdataconnectcw_transaction_view"
"Transaction Authorized","Transazione autorizzata"
"Transaction Cancelled","Transazione annullata"
"Transaction Captured","Transazione registrata"
"Transaction History","Storico della transazione"
"Transaction Id","Transaction ID"
"Transaction Paid","La transazione é stata pagata"
"Transaction Uncertain","Transazione incerta"
"Transaction Updates","Transaction Updates"
"Transaction cancelled successfully","La transazione é stata annullata con successo."
"Transaction captured successfully","Transazione registrata con successo"
"Transaction declined as authorization is pending at a third party service.","Transaction declined as authorization is pending at a third party service."
"Transaction history","Sintesi delle transazioni"
"Transaction notification verification failed.","Verifica di notifica della transazione non riuscita."
"Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Transactions","Transazioni"
"Unable to save the invoice.","Impossibile salvare la fattura."
"Uncertain Status","Status incerto"
"Uncertain transactions","Transazioni incerte"
"Update","Aggiornamento"
"Update Qty's","Regolare la quantità"
"Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Use Base Currency","Usa valuta di base"
"Use Default","Usare le impostazioni standard"
"Use base currency","Usa la valuta di base"
"VISA","Visa"
"Validation","Validazione"
"Version","Versione"
"View","Visualizza"
"Wait On Success Page","Aspetta sulla pagina di successo"
"We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del FirstData Connect plugin."
"We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method.","We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method."
"When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Year","Anno"
"Yes","Si"
"Yes, use images for the brand selection.","Si, utilizza le immagini per la selezione della marca."
"You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)","Si può solo registrare / rimborsare una linea di articoli completa. (Item: !name - Expected Amount: !expected - Given Amount: !given)"
"You can specify the order status for new orders that have an uncertain authorisation status.","E' possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno stato di autorizzazione incerto."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono registrati subito dopo l'ordine o manualmente nel backend."
"You can specify the order status for orders that are denied after being pending at Klarna","Puoi specificare lo status dell'ordine per gli ordini che sono stati negati dopo essere stati in sospeso in Klarna."
"You can specify the order status for orders that had a pending authorization status. Due to technical reasons it can happen that a transaction can not be cleared directly. The order will then be set on a hold state. The module will automatically check for a status update. With the 'Status after Pending' you define which status will be set in case the order has been cleared. We suggest to set the state according the authorization state above.","È possibile specificare lo stato di ordine per gli ordini con uno stato di autorizzazione in sospeso. A causa di motivi tecnici, può accadere che una transazione non possa essere cancellata direttamente. L'ordine verrà poi messo 'in attesa'. ll modulo controllerà automaticamente lo stato per un aggiornamento. Con 'Stato dopo essere stato in sospeso' si definisce quale stato sarà impostato nel caso in cui l'ordine sia rilasciato. Si consiglia di impostare lo stesso status dello stato di autorizzazione di cui sopra."
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato."
"You can switch between the different environments, by selecting the corresponding operation mode.","E' possibile passare dalla modalità live a quella test selezionando la modalità operativa appropriata."
"You created the order.","Hai creato questo ordine."
"You have no stored aliases.","Non hai nessun alias memorizzato."
"You have to enter a bankcode.","È necessario inserire un codice di banca valido."
"You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter a valid BIC.","Devi inserire un BIC valido."
"You have to enter a valid IBAN","È necessario inserire un codice IBAN valido"
"You have to enter a valid account number","È necessario inserire un numero di conto valido"
"You have to enter a valid bank code.","È necessario inserire un codice di banca valido."
"You have to enter an IBAN.","È necessario inserire un codice IBAN."
"You have to enter an account number.","È necessario inserire un numero di conto"
"You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"You have to enter the BIC of your bank.","Si prega di inserire il BIC della tua banca."
"You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"You have to enter the CVC code from the back of your credit card.","È necessario inserire il codice CVC presente sul retro della tua carta di credito."
"You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"You have to enter the CVC code or the issue number from your credit card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"You have to enter the a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter the a valid card number.","È necessario inserire un numero di una carta valido"
"You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"You have to enter the card expiry.","È necessario inserire la data di scadenza della carta"
"You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
